name;episode;addedDate;xdcc;downloaded
Mieruko chan;8;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3336;1
Platinum End;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1938;1
Platinum End;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2174;1
Platinum End;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2457;1
Platinum End;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2656;1
Platinum End;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2848;1
Platinum End;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3040;1
Platinum End;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3238;1
Platinum End;8;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3429;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1913;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2068;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2410;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2600;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2790;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2978;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3185;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;8;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3373;1
Senpai ga Uzai Kouhai no Hanashi;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1995;1
Senpai ga Uzai Kouhai no Hanashi;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2322;1
Senpai ga Uzai Kouhai no Hanashi;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2514;1
Senpai ga Uzai Kouhai no Hanashi;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2707;1
Senpai ga Uzai Kouhai no Hanashi;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2905;1
Senpai ga Uzai Kouhai no Hanashi;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3088;1
Senpai ga Uzai Kouhai no Hanashi;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3294;1
Tsuki to Laika to Nosferatu;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1892;1
Tsuki to Laika to Nosferatu;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2047;1
Tsuki to Laika to Nosferatu;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2372;1
Tsuki to Laika to Nosferatu;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2569;1
Tsuki to Laika to Nosferatu;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2766;1
Tsuki to Laika to Nosferatu;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2955;1
Tsuki to Laika to Nosferatu;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3155;1
Tsuki to Laika to Nosferatu;8;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3352;1
Isekai Shokudou 2;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1777;1
Isekai Shokudou 2;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1953;1
Isekai Shokudou 2;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2186;1
Isekai Shokudou 2;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2479;1
Isekai Shokudou 2;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2672;1
Isekai Shokudou 2;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2862;1
Isekai Shokudou 2;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3059;1
Isekai Shokudou 2;8;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3258;1
Isekai Shokudou 2;9;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3441;1
Sakugan;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1932;1
Sakugan;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2165;1
Sakugan;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2449;1
Sakugan;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2640;1
Sakugan;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2834;1
Sakugan;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3024;1
Sakugan;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3229;1
Sakugan;8;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3419;1
World Trigger 3;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2000;1
World Trigger 3;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2328;1
World Trigger 3;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2520;1
World Trigger 3;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2718;1
World Trigger 3;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2967;1
World Trigger 3;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3114;1
World Trigger 3;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3306;1
Build Divide Code Black;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1997;1
Build Divide Code Black;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2320;1
Build Divide Code Black;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2511;1
Build Divide Code Black;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2704;1
Build Divide Code Black;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2903;1
Build Divide Code Black;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3085;1
Build Divide Code Black;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3293;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;1;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1794;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;2;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #1958;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;3;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2189;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;4;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2485;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;5;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2678;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;6;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #2872;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;7;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3062;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;8;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3261;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;9;26-11-2021 20:52:58;/msg Ginpachi-Sensei xdcc send #3443;1
One Piece;1001;28-11-2021 11:50:36;/msg Ginpachi-Sensei xdcc send #3491;1
Senpai ga Uzai Kouhai no Hanashi;8;28-11-2021 11:50:36;/msg Ginpachi-Sensei xdcc send #3466;1
World Trigger 3;8;28-11-2021 11:50:36;/msg Ginpachi-Sensei xdcc send #3480;1
Build Divide Code Black;8;28-11-2021 11:50:36;/msg Ginpachi-Sensei xdcc send #3467;1
Shiroi Suna no Aquatope;22;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3593;1
Mushoku Tensei;20;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3526;1
Kimetsu no Yaiba Mugen Ressha hen;7;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3523;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;9;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3575;1
Komi san wa Comyushou desu;7;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3598;1
Mieruko chan;9;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3514;1
Platinum End;9;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3602;1
Tsuki to Laika to Nosferatu;9;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3528;1
Isekai Shokudou 2;10;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3618;1
Sakugan;9;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3587;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;10;03-12-2021 21:52:37;/msg Ginpachi-Sensei xdcc send #3621;1
One Piece;1002;05-12-2021 11:33:45;/msg Ginpachi-Sensei xdcc send #3679;1
Saihate no Paladin;8;05-12-2021 11:33:45;/msg Ginpachi-Sensei xdcc send #3650;1
Senpai ga Uzai Kouhai no Hanashi;9;05-12-2021 11:33:45;/msg Ginpachi-Sensei xdcc send #3655;1
World Trigger 3;9;05-12-2021 11:33:45;/msg Ginpachi-Sensei xdcc send #3667;1
Build Divide Code Black;9;05-12-2021 11:33:45;/msg Ginpachi-Sensei xdcc send #3656;1
Shiroi Suna no Aquatope;23;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3787;1
Mushoku Tensei;21;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3715;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;10;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3766;1
Komi san wa Comyushou desu;8;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3773;1
Shin no Nakama;9;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3569;1
Shin no Nakama;10;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3760;1
Mieruko chan;10;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3702;1
Platinum End;10;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3790;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;9;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3553;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;10;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3741;1
Tsuki to Laika to Nosferatu;10;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3720;1
Sakugan;10;10-12-2021 17:23:43;/msg Ginpachi-Sensei xdcc send #3781;1
Saihate no Paladin;9;11-12-2021 22:44:34;/msg Ginpachi-Sensei xdcc send #3831;1
Senpai ga Uzai Kouhai no Hanashi;10;11-12-2021 22:44:34;/msg Ginpachi-Sensei xdcc send #3834;1
Isekai Shokudou 2;11;11-12-2021 22:44:34;/msg Ginpachi-Sensei xdcc send #3802;1
World Trigger 3;10;11-12-2021 22:44:34;/msg Ginpachi-Sensei xdcc send #3846;1
Build Divide Code Black;10;11-12-2021 22:44:34;/msg Ginpachi-Sensei xdcc send #3837;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;11;11-12-2021 22:44:34;/msg Ginpachi-Sensei xdcc send #3805;1
One Piece;1003;12-12-2021 11:17:57;/msg Ginpachi-Sensei xdcc send #3868;1
Mushoku Tensei;22;12-12-2021 20:07:43;/msg Ginpachi-Sensei xdcc send #3898;1
Mieruko chan;11;12-12-2021 20:07:43;/msg Ginpachi-Sensei xdcc send #3886;1
Tsuki to Laika to Nosferatu;11;12-12-2021 20:07:43;/msg Ginpachi-Sensei xdcc send #3901;1
Kimetsu no Yaiba Yuukaku-hen;1;12-12-2021 20:07:43;/msg Ginpachi-Sensei xdcc send #3717;1
Kimetsu no Yaiba Yuukaku-hen;2;12-12-2021 20:07:43;/msg Ginpachi-Sensei xdcc send #3895;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;11;14-12-2021 19:16:48;/msg Ginpachi-Sensei xdcc send #3916;1
Shiroi Suna no Aquatope;24;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #3961;1
One Piece;1004;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #4043;1
Mushoku Tensei;23;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #4074;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;11;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #3943;1
Komi san wa Comyushou desu;9;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #3965;1
Saihate no Paladin;10;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #4014;1
Shin no Nakama;11;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #3934;1
Mieruko chan;12;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #4062;1
Platinum End;11;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #3964;1
Senpai ga Uzai Kouhai no Hanashi;11;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #4020;1
Tsuki to Laika to Nosferatu;12;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #4077;1
Isekai Shokudou 2;12;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #3978;1
Sakugan;11;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #3955;1
World Trigger 3;11;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #4032;1
Build Divide Code Black;11;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #4019;1
Yuuki Yuuna wa Yuusha de Aru Dai Mankai no Shou;12;19-12-2021 19:29:55;/msg Ginpachi-Sensei xdcc send #3983;1
Kimetsu no Yaiba Yuukaku hen;3;19-12-2021 19:33:47;/msg Ginpachi-Sensei xdcc send #4071;1
Sekai Saikou no Ansatsusha Isekai Kizoku ni Tensei suru;12;22-12-2021 18:54:09;/msg Ginpachi-Sensei xdcc send #4123;1
Shin no Nakama;12;22-12-2021 18:54:09;/msg Ginpachi-Sensei xdcc send #4117;1
Shinka no Mi Shiranai Uchi ni Kachigumi Jinsei;12;22-12-2021 18:54:09;/msg Ginpachi-Sensei xdcc send #4099;1
Komi san wa Comyushou desu;10;23-12-2021 22:36:36;/msg Ginpachi-Sensei xdcc send #4141;1
Platinum End;12;23-12-2021 22:36:36;/msg Ginpachi-Sensei xdcc send #4145;1
Sakugan;12;23-12-2021 22:36:36;/msg Ginpachi-Sensei xdcc send #4136;1
